Species Latin Name,Common Name,Address,Comments,Planting season,Planting year ,tree caretaker,nursery,replacement tree,city,Tree amount,Unnamed: 11,latitude,longitude
prunus akebono,Autumnalis cherry ,1231 Mechanic St ,Brother Saleem planting,Fall ,2017,Brother Saleem,Plant Detectives,1.0,Camden,4,,39.93078,-75.10375
Ulmus americana,American Elm (Princeton),1231 Mechanic St ,Brother Saleem planting,Fall ,2017,Brother Saleem,Plant Detectives,,Camden,4,,39.93078,-75.10375
Tilia cordata,Little Leaf Linden,1231 Mechanic St ,Brother Saleem planting,Fall ,2017,Brother Saleem,Plant Detectives,,Camden,4,,39.93078,-75.10375
Zelkova serrata,Zelkova ,1231 Mechanic St,Brother Saleem planting,Fall ,2017,Brother Saleem,Plant Detectives,,Camden,2,,39.93078,-75.10375
Cercis canadensis,Eastern redbud,1231 Mechanic St ,Brother Saleem planting,Fall ,2017,Brother Saleem,Plant Detectives,,Camden,3,,39.93078,-75.10375
Lagerstroemia Sioux,Crepe myrtle ,1231 Mechanic St ,Brother Saleem planting,Fall ,2017,Brother Saleem,Plant Detectives,,Camden,4,,39.93078,-75.10375
aesculus carnea,RR Horsechestnut,839 N 4th st ,NRTC planting ,Fall ,2017,Tito Fortana,Plant Detectives,2.0,Camden,2,,39.95404,-75.12005
cercidiphyllum,Katsura tree,839 N 4th St ,NRTC planting ,Fall ,2017,Tito Fortana,Plant Detectives,2.0,Camden,2,,39.95404,-75.12005
prunus okame,okame cherry ,637 N 6th St ,NRTC planting ,Fall ,2017,Evan Rodriguez,Plant Detectives,1.0,Camden,1,,39.95157,-75.11763
prunus okame,okame cherry ,817 Pearl St ,NRTC planting ,Fall ,2017,Anista Centron,Plant Detectives,,Camden,1,,39.94913,-75.1143
nyssa sylvatica,blackgum,531 Vine St ,NRTC planting ,Fall ,2017,Luis Andino,Plant Detectives,,Camden,1,,39.95204,-75.11805
nyssa sylvatica,blackgum,Northgate Park,NRTC planting ,Fall ,2017,Jason Rodriguez,Plant Detectives,,Camden,1,,,
nyssa sylvatica,blackgum,Northgate Park,NRTC planting ,Fall ,2017,Jason Rodriguez,Plant Detectives,,Camden,1,,,
prunus okame,okame,547 Vine St,NRTC planting ,Fall ,2017,Mammi Ruiz,Plant Detectives,,Camden,1,,39.95193,-75.11771
prunus okame,okame,525 Vine St,NRTC planting ,Fall ,2017,Maria Nuez,Plant Detectives,,Camden,1,,39.95207,-75.11822
prunus okame,okame,541 Vine sT ,NRTC planting ,Fall ,2017,Quita Rodriguez,Plant Detectives,,Camden,1,,39.95196,-75.11786
prunus okame,okame,817 Pearl St ,NRTC planting ,Fall ,2017,Anita Cintron,Plant Detectives,,Camden,1,,39.94913,-75.1143
prunus okame,okame,642 N 9th St,NRTC planting ,Fall ,2017,Fannie Parker,Plant Detectives,1.0,Camden,1,,39.95062,-75.1127
celtis occidentalis,hackberry,316 Erie St ,NRTC planting ,Fall ,2017,Rosa Figueroa,Plant Detectives,1.0,Camden,1,,39.95507,-75.12029
acer rubrum,maple,549 State St ,NRTC planting ,Fall ,2017,New Beginnings UMC,Plant Detectives,1.0,Camden,1,,39.95276,-75.11769
nyssa sylvatica,blackgum,527 Vine St ,NRTC planting ,Fall ,2017,Wanda Perez,Plant Detectives,,Camden,1,,39.95207,-75.11816
prunus x akebono,akebono cherry ,1200 Mechanic St ,MKM Foundation,Fall ,2017,Brother Saleem,Plant Detectives,,Camden,4,,39.93034,-75.10462
ulmus americana,American Elm (Princeton),1200 Mechanic St ,MKM Foundation,Fall ,2017,Brother Saleem,Plant Detectives,,Camden,4,,39.93034,-75.10462
Tilia cordata,Littleleaf linden,1200 Mechanic St ,MKM Foundation,Fall ,2017,Brother Saleem,Plant Detectives,,Camden,5,,39.93034,-75.10462
Zelkova,Zelkova ,1200 MEchanic St ,MKM Foundation,Fall ,2017,Brother Saleem,Plant Detectives,,Camden,2,,39.93034,-75.10462
Lagerstroemia sioux/pink,Crepe myrtle ,1200 Mechanic St ,MKM Foundation,Fall ,2017,Brother Saleem,Plant Detectives,,Camden,4,,39.93034,-75.10462
cercis canadensis,Redbud,1200 Mechanic St ,MKM Foundation,Fall ,2017,Brother Saleem,Plant Detectives,,Camden,4,,39.93034,-75.10462
prunus x okame,okame cherry ,3426 Fairfax Dr,MKM Foundation,Fall ,2017,,Plant Detectives,,Camden,1,,39.95336,-75.07728
prunus x okame,okame cherry ,457 N 35th st ,MKM Foundation,Fall ,2017,,Plant Detectives,,Camden,1,,39.95372,-75.07773
prunus okame,okame cherry ,3434 Fairfax Dr ,MKM Foundation,Fall ,2017,,Plant Detectives,,Camden,1,,39.95358,-75.07718
prunus okame,okame cherry ,3510 Fairfax Dr,MKM Foundation,Fall ,2017,,Plant Detectives,,Camden,1,,39.95391,-75.07712
prunus okame ,okame cherry ,474 N 35th St ,MKM Foundation,Fall ,2017,,Plant Detectives,,Camden,2,,39.95416,-75.07753
syringa reticulate ,Japanese Tree lilac,474 N 35th St ,MKM Foundation,Fall ,2017,,Plant Detectives,,Camden,2,,39.95416,-75.07753
prunus okame,okame cherry ,370 N 34th St ,MKM Foundation,Fall ,2017,,Plant Detectives,,Camden,4,,39.95314,-75.07752
syringa reticulate ,Japanese Tree lilac,370 N 34th St ,MKM Foundation,Fall ,2017,,Plant Detectives,,Camden,2,,39.95314,-75.07752
prunus okame,okame cherry ,3500 Fairfax Drive ,MKM Foundation,Fall ,2017,,Plant Detectives,,Camden,1,,39.9537,-75.07714
prunus okame ,okame cherry ,404 N 34th St ,MKM Foundation,Fall ,2017,,Plant Detectives,,Camden,5,,39.95335,-75.07779
syringa reticulate ,Japanese Tree lilac,404 N 34th St ,MKM Foundation,Fall ,2017,,Plant Detectives,,Camden,4,,39.95335,-75.07779
prunus okame,okame cherry ,3430 Fairfax Dr,MKM Foundation,Fall ,2017,,Plant Detectives,,Camden,1,,39.95347,-75.07722
prunus yeodensis,yoshino cherry ,1200 Broadway,MKM Foundation,Spring ,2018,Jack O Byrne,Plant Detectives,,Camden,6,,39.93086,-75.11936
zelkova serrata,Zelkova ,1200 Broadway,MKM Foundation,Spring,2018,Jack O Byrne,Plant Detectives,,Camden,3,,39.93086,-75.11936
cladratis kentukea rosea,yellowood,1200 Broadway,MKM Foundation,Spring,2018,Jack O Byrne,Plant Detectives,,Camden,1,,39.93086,-75.11936
cladratis kentukea rosea,yellowood,338 Viola St ,MKM Foundation,Spring,2018,,Plant Detectives,,Camden,1,,39.92067,-75.12207
cercis canadensis,redbud,201 Penn St ,MKM Foundation,Spring ,2018,Kobina Thomas,Plant Detectives,1.0,Camden,1,,39.94884,-75.12422
cercis canadensis,redbud,319 N 2nd St ,MKM Foundation,Spring,2018,William James,Plant Detectives,2.0,Camden,2,,39.94898,-75.12454
cercis canadensis,redbud,211 Penn St ,MKM Foundation,Spring ,2018,Jon Latko,Plant Detectives,2.0,Camden,2,,39.94878,-75.12389
cercis canadensis,redbud,426 N 2nd St ,MKM Foundation,Spring,2018,,Plant Detectives,,Camden,1,,39.95033,-75.1236
prunus okame,okame cherry ,426 n 2nd St ,MKM Foundation,Spring ,2018,,Plant Detectives,,Camden,2,,39.95033,-75.1236
Acer rubra ,red maple,49 Pearl St ,MKM Foundation,Spring ,2018,Rutgers Camden,Plant Detectives,1.0,Camden,1,,39.95125,-75.12601
platanus acerfolia ,sLondonplane,401 Jersey Joe Walcott BLvd,MKM Foundation,Spring,2018,Rutgers Camden,Plant Detectives,1.0,Camden,1,,40.67523,-74.29662
ulmus americana,American Elm (Princeton),800 Delaware St ,Delaware Riverkeepers grant ,Spring ,2018,City of Camden,Plant Detectives,,Camden,4,,39.95347,-75.12597
aesculus carnea,RR Horsechestnut,800 Delaware St ,Delaware Riverkeepers grant ,Spring ,2018,City of Camden,Plant Detectives,,Camden,2,,39.95347,-75.12597
acer buergeranium,Trident maple,800 Delaware St,Delaware Riverkeepers grant ,Spring,2018,City of Camden,Plant Detectives,,Camden,3,,39.95347,-75.12597
sytyrax japonicum,Japanese snowbell,800 Delaware St ,Delaware Riverkeepers grant ,Spring,2018,City of Camden,Plant Detectives,,Camden,1,,39.95347,-75.12597
prunus okame,okame cherry ,823 Pearl St ,MKM Foundation,Spring,2018,,Plant Detectives,1.0,Camdne,1,,39.9491,-75.11416
acer ginnala,amur maple,307 state St ,MKM Foundation,Spring ,2018,,Plant Detectives,1.0,Camden,1,,39.95358,-75.12112
acer ginnala,amur maple,700 N 3rd St ,MKM Foundation,Spring,2018,,Plant Detectives,1.0,Camden,1,,39.95297,-75.1214
acer ginnala,amur maple,290 Main St ,MKM Foundation,Spring,2018,,Plant Detectives,2.0,Camden,2,,36.05721,-88.11414
pinus strobus,pine,58 Erie St ,MKM Foundation,Spring ,2018,Camden Tools,Plant Detectives,,Camden,3,,39.95603,-75.12483
quercus bicolor,swamp white oak,2698 Admiral Wilson Blvd,Delaware Riverkeepers grant ,Spring,2018,CCMUA,Plant Detectives,,Camden,5,,39.9367,-75.08866
betula nigra heritage,River birch,2698 Admiral Wilson blvd,Delaware Riverkeepers grant ,Spring,2018,CCMUA,Plant Detectives,,Camden,5,,39.9367,-75.08866
metasequoia glyptostroboides,dawn redwood,2698 Admiral Wilson Blvd,Delaware Riverkeepers grant ,Spring,2018,CCMUA,Plant Detectives,,Camden,5,,39.9367,-75.08866
thuja plicata green giant,western red cedar,2698 Admiral Wilson Blvd,Delaware Riverkeepers grant ,Spring,2018,CCMUA,Plant Detectives,,Camden,5,,39.9367,-75.08866
prunus autumnalis,autumnalis cherry ,1466 Ferry Ave,MKM Foundation,Spring,2018,CCMUA,Plant Detectives,,Camden,1,,39.9273,-75.12487
ulmus americana,American Elm (Princeton),3096 Federal St ,WPF,Spring ,2018,City of Camden,Plant Detectives,,Camden,10,,39.94708,-75.07866
nyssa sylvatica ,blackgum,3096 Federal St ,WPF,Spring,2018,City of Camden,Plant Detectives,,Camden,5,,39.94708,-75.07866
acer rubra autumn brilliance ,red maple,3096 Federal st ,WPF,Spring,2018,City of Camden,Plant Detectives,,Camden,5,,39.94708,-75.07866
pinus strobus,white pine,3096 Federal ST ,WPF,Spring,2018,City of Camden,Plant Detectives,,Camden,10,,39.94708,-75.07866
ostrya virginiana,american hophornbeam,3096 Federal St ,WPF,Spring,2018,City of Camden,Plant Detectives,,Camden,10,,39.94708,-75.07866
cercidiphyllum,katsura tree,3096 Federal St ,WPF,Spring ,2018,City of Camden,Plant Detectives,,Camden,6,,39.94708,-75.07866
crataegus ,winter king hawthorn,3096 Federal ST ,WPF,Spring,2018,City of Camden,Plant Detectives,,Camden,4,,39.94708,-75.07866
cercis canadensis,redbud,3096 Federal st ,WPF,Spring,2018,City of Camden,Plant Detectives,,Camden,10,,39.94708,-75.07866
betual nigra,River birch,3096 Federal St ,WPF,Spring,2018,City of Camden,Plant Detectives,,Camden,5,,39.94708,-75.07866
nyssa sylvatica ,blackgum,Park Blvd & Forest Drive ,WPF,Spring,2018,City of Camden,Plant Detectives,,Camden,5,,,
Tilia cordata,Littleleaf linden,Park Blvd & Forest Drive ,WPF,SPring,2018,City of Camden,Plant Detectives,,Camden,5,,,
crataegus ,winter king hawthorn,Park Blvd & Forest Drive ,WPF,SPring,2018,City of Camden,Plant Detectives,,Camden,5,,,
acer rubrum,red maple,Park Blvd & Forest Drive ,WPF,Spring,2018,City of Camden,Plant Detectives,,Camden,10,,,
fagus grandifolia,American beech,Park Blvd & Forest Drive ,WPF,SPring,2018,City of Camden,Plant Detectives,,Camden,2,,,
ostrya virginiana,hophornbeam,Park Blvd & Forest Drive ,WPF,Spring,2018,City of Camden,Plant Detectives,,Camden,7,,,
amelanchier autumn brilliance ,serviceberry,Washington St playlot,319h,Spring,2018,City of Gloucester ,Plant Detectives,,Gloucester City,3,,,
carpinus carolinana,Am. hornbeam,Washington St playlot,319h,Spring,2018,City of Gloucester ,Plant Detectives,,Gloucester City,5,,,
cercis canadensis,redbud,Washington St playlot,319h,Spring,2018,City of Gloucester ,Plant Detectives,,Gloucester City,2,,,
prunus x yeodensis,yoshino cherry ,,319h,Spring,2018,City of Gloucester ,Plant Detectives,,Gloucester City,1,,,
quercus phellos,willow oak,Washington St playlot,3019h,Spring,2018,City of Gloucester ,Plant Detectives,,Gloucester City,5,,,
prunus yeodensis,yoshino cherry ,1231 Mechanic St ,MKM Foundation,Spring,2018,Brother Saleem,Plant Detectives,,Camden,1,,39.93078,-75.10375
cercis canadensis,redbud,Liberty St ,MKM Foundation,Spring,2018,PBCIP,Plant Detectives,,Camden,3,,,
acer burgeranium,Trident maple,1272 Mechanic St ,MKM Foundation,Spring,2018,,Plant Detectives,,Camden,1,,39.93047,-75.10232
acer buergeranium,trident maple,1259 Mechanic St ,MKM Foundation,Spring,2018,,Plant Detectives,,Camden,1,,39.93085,-75.10276
Lagerstroemia sioux/pink,Crepe myrtle ,1231 Mechanic St ,MKM Foundation,Spring,2018,Brother Saleem,Plant Detectives,,Camden,5,,39.93078,-75.10375
aesculus carnea,RR horsechestnut,316 Byron St ,NRTC 2018 ,Fall ,2018,Ana Rogue,Plant Detectives,,Camden,1,,39.95562,-75.12019
aesculus carnea,RR horsechestnut,342 Byron St ,NRTC 2018 ,Fall ,2018,Marilyn White,Plant Detectives,,Camden,1,,39.9555,-75.11956
aesculus carnea,RR horsechestnut,300 Erie St ,NRTC 2018 ,Fall ,2018,Jackie Santiago,Plant Detectives,,Camden,1,,39.95521,-75.12066
prunus subhirtella,Higan Cherry ,300 Erie St ,NRTC 2018 ,Fall ,2018,Jackie Santiago,Plant Detectives,,Camden,1,,39.95521,-75.12066
prunus okame,okame cherry ,300 erie St ,NRTC 2018 ,Fall ,2018,Jackie Santiago,Plant Detectives,,Camden,2,,39.95521,-75.12066
malus florida,Crabapple,300 ERie St ,NRTC 2018 ,Fall ,2018,Jackie Santiago,Plant Detectives,,Camden,4,,39.95521,-75.12066
prunus okame,okame cherry ,820 State St ,NRTC 2018 ,Fall ,2018,Hector Pellot,Plant Detectives,,Camden,4,,39.95155,-75.11333
prunus okame,okame cherry ,430 State St ,NRTC 2018 ,Fall ,2018,Jose Santiago,Plant Detectives,1.0,Camden,1,,39.95269,-75.11919
quercus phellos,willow oak,800 Delaware St ,NRTC 2018 ,Fall ,2018,City of Camden,Plant Detectives,,Camden,1,,39.95347,-75.12597
ulmus americana,American Elm (Princeton),800 Delaware St ,NRTC 2018 ,Fall ,2018,City of Camden,Plant Detectives,1.0,Camden,1,,39.95347,-75.12597
parrotia persica,Ironwood,500 Bailey St ,NRTC 2018 ,Fall ,2018,Jose Gonzalez,Plant Detectives,,Camden,5,,39.95419,-75.11818
Lagerstroemia muskogee,Crepe myrtle ,500 Bailey St ,NRTC 2018 ,Fall ,2018,Jose Gonzalez,Plant Detectives,,Camden,7,,39.95419,-75.11818
prunus maritima ,beach plum,1900 Park Blvd,Campbells soup,Fall ,2018,PBCIP,Pinelands Nursery ,,Camden,18,,39.93104,-75.09424
amelanchier ,serviceberry,1900 Park Blvd,Campbells soup,Fall ,2018,PBCIP,Hopewell Nursery,,Camden,3,,39.93104,-75.09424
cercis canadensis,redbud,1900 Park Blvd,Campbells soup,Fall ,2018,PBCIP,Hopewell Nursery,,Camden,3,,39.93104,-75.09424
cherry dwarf stella,cherry ,1900 Park Blvd,Campbells soup,Fall ,2018,PBCIP,Hopewell Nursery,,Camden,3,,39.93104,-75.09424
peach x bonfire,peach,1900 Park Blvd,Campbells soup,Fall ,2018,PBCIP,Hopewell Nursery,,Camden,3,,39.93104,-75.09424
pear 4 way combo,pear,1900 Park Blvd,Campbells soup,Fall ,2018,PBCIP,Hopewell Nursery,,Camden,3,,39.93104,-75.09424
liriodendron tulipfera ,tuliptree,227 Jefferson St ,MKM/CCMUA,Fall ,2018,CCMUA,Plant Detectives,,Camden,3,,39.91976,-75.12485
zelkova serrata,Zelkova ,227 Jefferson st ,MKM/CCMUA,Fall ,2018,CCMUA,Plant Detectives,,Camden,5,,39.91976,-75.12485
ginkgo biloba,Ginkgo,227 Jefferson st ,MKM/CCMUA,Fall ,2018,CCMUA,Plant Detectives,,Camden,3,,39.91976,-75.12485
ulmus americana,Am. Elm,227 Jeffferson St ,MKM/CCMUA,Fall ,2018,CCMUA,Plant Detectives,,Camden,5,,39.91976,-75.12485
nyssa sylvatica ,blackgum,227 Jefferson St ,MKM/CCMUA,Fall ,2018,CCMUA,Plant Detectives,,Camden,4,,39.91976,-75.12485
cercis canadensis,redbud,3003 Carman St ,WPF/St Joes,Fall ,2018,Maria Torres,Plant Detectives,,Camden,1,,39.94642,-75.08136
lagerstoremia natchez,crepe myrtle ,3049 Carman ,WPF/St Joes,Fall ,2018,Mueil Rodino,Plant Detectives,,Camden,1,,39.94658,-75.07972
Lagerstroemia sioux/pink,crepe myrtle ,3049 Carman St ,WPF/St Joes,Fall ,2018,Mueil Rodino,Plant Detectives,,Camden,1,,39.94658,-75.07972
acer buergeranium,trident maple,2902 Mickle St ,WPF/St Joes,Fall ,2018,,Plant Detectives,,Camden,1,,39.9452,-75.08247
crataegus ,hawthorn,124 N 28th St ,WPF/St Joes,Fall ,2018,,Plant Detectives,,Camden,3,,39.94825,-75.08598
lagerstroemia,crepe myrtle ,124 N 28th St ,WPF/St Joes,Fall ,2018,,Plant Detectives,,Camden,2,,39.94825,-75.08598
prunus okame,okame cherry ,831 Kaighn Ave ,WPF,Fall ,2018,KABC,Plant Detectives,,Camden,3,,39.93176,-75.11198
lagerstroemia tuscarora,crepe myrtle ,831 Kaighn Ave,WPF,Fall ,2018,KABC,Plant Detectives,,Camden,1,,39.93176,-75.11198
gledista tricantos skyline,honeylocust,831 Kaighn Ave,WPF,Fall ,2018,KABC,Plant Detectives,,Camden,5,,39.93176,-75.11198
ginkgo biloba,Ginkgo,831 Kaighn Ave,WPF,Fall ,2018,KABC,Plant Detectives,,Camden,2,,39.93176,-75.11198
ostrya virginiana,hophornbeam,831 Kaighn Ave,WPF,Fall ,2018,KABC,Plant Detectives,,Camden,3,,39.93176,-75.11198
nyssa sylvatica ,blackgum,1 water street,WPF/MKM,Spring ,2019,Camden county,Plant Detectives,,Camden,7,,31.99029,-87.28826
ginkgo biloba,Ginkgo,1 Water St ,WPF/MKM,Spring ,2019,Camden county,Plant Detectives,,Camden,7,,31.99029,-87.28826
cornus florida ,Dogwood,1 Water St ,WPF/MKM,Spring ,2019,Camden county,Plant Detectives,,Camden,4,,31.99029,-87.28826
cornus florida ,Dogwood,1701 Carl Miller BLvd,WPF/MKM,Spring,2019,City of Camden,Plant Detectives,,Camden,3,,36.08599,-88.18259
stryax japonicum,Japanese snowbell,1701 Carl Miller BLvd,WPF/MKM,Spring ,2019,City of Camden,Plant Detectives,,Camden,4,,36.08599,-88.18259
carpinus carolinana,american hornbeam,1010 Liberty St ,MKM,Spring ,2019,St. Joseph's Church,Plant Detectives,,Camden,6,,39.9306,-75.1099
cercis canadensis,redbud,941 Mechanic St ,MKM,Spring,2019,,Plant Detectives,,Camden,1,,39.93022,-75.11028
cercis canadensis,redbud,942 Mechanic St ,MKM,Spring,2019,,Plant Detectives,,Camden,1,,39.92989,-75.10997
cercis canadensis,redbud,1036 Mechanic St ,MKM,Spring,2019,,Plant Detectives,,Camden,1,,39.93,-75.10844
cericis canadensis,redbud,1041 Mechanic St ,MKM,Sprin ,2019,,Plant Detectives,,Camden,1,,39.9304,-75.1091
prunus okame,okame cherry ,520 Beacon Ave,MKM,Spring ,2019,Lisa Cruz,Plant Detectives,,Camden,2,,39.94025,-75.07912
cercis canadensis,redbud,3305 Highland Ave,MKM,Spring,2019,,Plant Detectives,,Camden,1,,39.94384,-75.07387
prunus kwanzan,kwanzan cherry,3327 Highland Ave,MKM,Spring,2019,Tony Estrada,Plant Detectives,,Camden,1,,39.94416,-75.07345
ostrya virginiana,hophornbeam,Alberta Woods,MKM,Spring ,2019,City of Camden,Plant Detectives,,Camden,4,,,
lagerstroemia,crepe myrtle ,Alberta Woods,MKM,Spring,2019,City of Camden,Plant Detectives,,Camden,1,,,
prunus okame,okame cherry ,3185 Highland Ave,MKM,Spring,2019,Betty Louie,Plant Detectives,,Camden,2,,39.94298,-75.0749
lagerstroemia,crepe myrtle ,523 Beacon Ave,MKM,Spring,2019,,Plant Detectives,,Camden,2,,39.93989,-75.07932
lagerstroemia,crepe myrtle ,2926 Waldorf Ave,MKM,Spring,2019,Josue Martinez,Plant Detectives,,Camden,1,,39.93985,-75.07995
cercis canadensis,redbud,2926 Waldorf Ave,MKM,Spring,2019,Josue Martinez,Plant Detectives,,Camden,2,,39.93985,-75.07995
cercis canadensis,redbud,1625 Wildwood Ave,WPF ,Spring ,2019,Samir Nichols,Plant Detectives,,Camden,2,,39.93624,-75.10008
amelanchier ,serviceberry,1625 Wildwood Ave,WPF,Spring,2019,Samir Nichols,Plant Detectives,,Camden,8,,39.93624,-75.10008
lagerstroemia ,crepe myrtle ,600 N 7th St ,WPF,Spring,2019,La Domenica Store,Plant Detectives,,Camden,1,,39.95038,-75.11569
cercis canadensis,redbud,600 N 7th St ,WPF,Spring,2019,La Domenica Store,Plant Detectives,,Camden,1,,39.95038,-75.11569
cercis canadensis,redbud,644 York St ,WPF,Spring,2019,Wanda Matias,Plant Detectives,,Camden,1,,39.95312,-75.11559
lagerstroemia,crepe myrtle ,628 York St ,WPF,Spring,2019,,Plant Detectives,,Camden,1,,39.95319,-75.116
lagerstroemia,crepe myrtle ,641 York St ,WPF,Spring,2019,,Plant Detectives,,Camden,1,,39.95345,-75.11541
lagerstroemia,crepe myrtle ,629 York St ,WPF,Spring,2019,,Plant Detectives,,Camden,1,,39.95352,-75.11577
cercis canadensis,redbud,625 York St ,WPF,Spring,2019,Jose Ruiz,Plant Detectives,,Camden,1,,39.95355,-75.11588
lagerstroemia,crepe myrtle ,615 York St ,WPF,Spring,2019,,Plant Detectives,,Camden,1,,39.9536,-75.11616
cercis canadensis,redbud,610 York St ,WPF,Spring ,2019,,Plant Detectives,,Camden,1,,39.95328,-75.11647
lagerstroemia,crepe myrtle ,6th & Grant St ,WPF,SPring,2019,La Esperanza,Plant Detectives,,Camden,1,,39.72283,-74.89204
cercis canadensis,redbud,6th & Grant St ,WPF,SPring,2019,La Esperanza,Plant Detectives,,Camden,1,,39.72283,-74.89204
cladrasis lutea,yellowwood,24th & Howell St ,WPF,Fall ,2019,City of Camden,Plant Detectives,,Camden,4,,39.94664,-75.09049
